Executing...
0:								; Instruction Result: 0
1:	MUL 117 * 325 == 38025							; Instruction Result: 38025
2:	MUL 829 * 251 == 208079							; Instruction Result: 208079
3:	MUL 17 * 183 == 3111							; Instruction Result: 3111
4:	MUL 911 * 142 == 129362							; Instruction Result: 129362
5:	MUL 199 * 484 == 96316							; Instruction Result: 96316
6:	MUL 325 * 240 == 78000							; Instruction Result: 78000
7:	MUL 920 * 723 == 665160							; Instruction Result: 665160
8:	MUL 274 * 899 == 246326							; Instruction Result: 246326
9:	MUL 664 * 836 == 555104							; Instruction Result: 555104
10:	MUL 257 * 635 == 163195							; Instruction Result: 163195
11:	DISABLE							; Instruction Result: 0
12:	SKIP MUL 360 * 222 == 79920							; Instruction Result: 0
13:	SKIP MUL 268 * 245 == 65660							; Instruction Result: 0
14:	SKIP MUL 936 * 776 == 726336							; Instruction Result: 0
15:	SKIP MUL 474 * 825 == 391050							; Instruction Result: 0
16:	SKIP MUL 484 * 39 == 18876							; Instruction Result: 0
17:	SKIP MUL 357 * 805 == 287385							; Instruction Result: 0
18:	SKIP MUL 261 * 810 == 211410							; Instruction Result: 0
19:	SKIP MUL 306 * 422 == 129132							; Instruction Result: 0
20:	SKIP MUL 944 * 563 == 531472							; Instruction Result: 0
21:	SKIP MUL 403 * 781 == 314743							; Instruction Result: 0
22:	SKIP MUL 382 * 778 == 297196							; Instruction Result: 0
23:	SKIP MUL 48 * 400 == 19200							; Instruction Result: 0
24:	SKIP MUL 114 * 537 == 61218							; Instruction Result: 0
25:	SKIP MUL 688 * 466 == 320608							; Instruction Result: 0
26:	SKIP MUL 950 * 333 == 316350							; Instruction Result: 0
27:	SKIP MUL 974 * 802 == 781148							; Instruction Result: 0
28:	SKIP MUL 394 * 250 == 98500							; Instruction Result: 0
29:	SKIP MUL 271 * 377 == 102167							; Instruction Result: 0
30:	SKIP MUL 83 * 470 == 39010							; Instruction Result: 0
31:	SKIP MUL 678 * 845 == 572910							; Instruction Result: 0
32:	ENABLE							; Instruction Result: 0
33:	MUL 958 * 48 == 45984							; Instruction Result: 45984
34:	MUL 965 * 566 == 546190							; Instruction Result: 546190
35:	MUL 926 * 836 == 774136							; Instruction Result: 774136
36:	ENABLE							; Instruction Result: 0
37:	MUL 465 * 920 == 427800							; Instruction Result: 427800
38:	MUL 905 * 944 == 854320							; Instruction Result: 854320
39:	MUL 738 * 782 == 577116							; Instruction Result: 577116
40:	MUL 671 * 73 == 48983							; Instruction Result: 48983
41:	MUL 981 * 305 == 299205							; Instruction Result: 299205
42:	MUL 943 * 403 == 380029							; Instruction Result: 380029
43:	MUL 177 * 608 == 107616							; Instruction Result: 107616
44:	MUL 615 * 69 == 42435							; Instruction Result: 42435
45:	MUL 273 * 327 == 89271							; Instruction Result: 89271
46:	MUL 588 * 34 == 19992							; Instruction Result: 19992
47:	MUL 476 * 402 == 191352							; Instruction Result: 191352
48:	MUL 70 * 477 == 33390							; Instruction Result: 33390
49:	MUL 826 * 769 == 635194							; Instruction Result: 635194
50:	MUL 630 * 778 == 490140							; Instruction Result: 490140
51:	MUL 757 * 817 == 618469							; Instruction Result: 618469
52:	MUL 704 * 71 == 49984							; Instruction Result: 49984
53:	MUL 880 * 91 == 80080							; Instruction Result: 80080
54:	MUL 482 * 52 == 25064							; Instruction Result: 25064
55:	MUL 451 * 632 == 285032							; Instruction Result: 285032
56:	MUL 744 * 609 == 453096							; Instruction Result: 453096
57:	MUL 851 * 817 == 695267							; Instruction Result: 695267
58:	MUL 879 * 78 == 68562							; Instruction Result: 68562
59:	MUL 955 * 80 == 76400							; Instruction Result: 76400
60:	DISABLE							; Instruction Result: 0
61:	SKIP MUL 11 * 257 == 2827							; Instruction Result: 0
62:	SKIP MUL 755 * 926 == 699130							; Instruction Result: 0
63:	SKIP MUL 822 * 333 == 273726							; Instruction Result: 0
64:	SKIP MUL 944 * 27 == 25488							; Instruction Result: 0
65:	DISABLE							; Instruction Result: 0
66:	SKIP MUL 682 * 325 == 221650							; Instruction Result: 0
67:	SKIP MUL 159 * 46 == 7314							; Instruction Result: 0
68:	SKIP MUL 999 * 996 == 995004							; Instruction Result: 0
69:	SKIP MUL 181 * 447 == 80907							; Instruction Result: 0
70:	SKIP MUL 79 * 247 == 19513							; Instruction Result: 0
71:	SKIP MUL 646 * 108 == 69768							; Instruction Result: 0
72:	SKIP MUL 446 * 87 == 38802							; Instruction Result: 0
73:	ENABLE							; Instruction Result: 0
74:	MUL 769 * 704 == 541376							; Instruction Result: 541376
75:	MUL 342 * 860 == 294120							; Instruction Result: 294120
76:	MUL 297 * 907 == 269379							; Instruction Result: 269379
77:	MUL 785 * 738 == 579330							; Instruction Result: 579330
78:	MUL 22 * 569 == 12518							; Instruction Result: 12518
79:	MUL 712 * 864 == 615168							; Instruction Result: 615168
80:	ENABLE							; Instruction Result: 0
81:	MUL 910 * 77 == 70070							; Instruction Result: 70070
